left,right,match
04 Look Like A Man (Extended Version).mp3,04-acid_chochi-acid_cortex-c49bef4a.mp3,False
02-allen_and_healey-head_over_heels_(yum_yum_remix)-b8cbc5bc.mp3,RIOT IN BELGIUM - The Acid Never Lies (Original Mix).mp3,False
07-paulette--i_want_you_back-e5894b62.mp3,Toro (Andre VII RMX).mp3,False
01-paul_reve_natural_limit-organic_dreams-069d0b1d.mp3,Zwicker - Made Up.mp3,False
02-klofink_rps13-896-d35eeb0d.mp3,Datamode - Dazed Girls.mp3,False
Mike Monday - Rumpfunk.mp3,Spirit Catcher - Street Hawk (Original Mix)_PN.mp3,True
09-urlcst-p__c__l_(periclitation_cat_e_gorie_libre)-b9b10859.mp3,2205 - Regrets - Je Ne Veux Pas Rentrer Chez Moi Seule (D.J. Club Mix).mp3,False
02 - Little Computer People - Electro Pop.mp3,Anané - Love To Love You Baby (Louie & Anané Funky House Mix).mp3,False
04_thomilla_with_ayak_-_freaky_girl_(extended_club_mix)-mod.mp3,071 - Ozzie Guven - The One.mp3,False
02_g_rizo_-_eye_wanna_c_u_(p_pulsingers_stalker_mix).mp3,06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,False
02 You Know How (Inland Knights Remix).mp3,15 - Drama Society - Crying Hero (Tiga Remix).mp3,False
09 Leinad - Out Of Phase.mp3,"408. Kenny Hawkes, Louise Carver - Play The Game (Extended Mix).mp3",False
08 Tainted love (Dino remix).mp3,Solar vs Audiofly - Live Love (Audiofly Mix).mp3,False
I Feel Love (Kevin McKay Club Mix).mp3,Unit 4 - 03 - Bodydub (Bangkok Impact Remix).mp3,False
01 - Toi Qui Cours L'aventure.mp3,08. Swallow.mp3,False
01-blowing up the barrio.mp3,4 - Oi to the Oi.mp3,False
04 - Captain Comatose - Price Gun Baby (Kiki & Silversurfer's 6.66 Remix).mp3,"Simon Says, Aisjah, Simon Le Roy - Late at night (feat. Aisjah) (Late In The Morning Quizz Remix).mp3",False
06 Leinad - Voice Spectrum.mp3,Light Blue File - Palpitrack (Original Mix) [Pryma Records].mp3,False
04 - Slope - Basscheck.mp3,Spirit Catcher - Glide Explorer.mp3,True
06-qant-salt_factory_anthem-fe59bf34.mp3,NeoFx - Banana Brain.mp3,False
03 - Captain Comatose - $100 (12inch mix).mp3,03-a-link-straight_micro_groove-5f61f17c.mp3,False
Jerome Six - Every Single Time (Max Chapman Deep Mix).mp3,Tom Frankel - Margin Call.mp3,True
06-boogie_corporation--freak_inside.mp3,2 - Aurora (DJ IBON Remix).mp3,False
01 Unruhe.MP3,Blacksoul - Got Funk.mp3,False
06-boogie_corporation--freak_inside.mp3,Bullitt - Cried To Dream ( Amazonian Vocal Mix ).mp3,False
01-artificial_arm--welcome_to_planet_funk-515be63c.mp3,Glamour Girls - I Want You.mp3,False
02-aeric--toute_facon_(miss_kittin_and_the_hacker_mix)-babas_int.mp3,2 - Aurora (DJ IBON Remix).mp3,False
03 - Shakedown - Disconnected.mp3,DJ Arne LII - Grave diggers Have more fun.mp3,False
20.shuya okino featuring navasha daya & navasha daya - still in love (dr packer extended remix).mp3,Mike Monday - Rumpfunk.mp3,False
14 - SDA - Vous êtes un arbre.mp3,Bliss Inc - Subaquatic.mp3,False
03 - Furie.mp3,04-acid_chochi-acid_cortex-c49bef4a.mp3,False
02-aeric--toute_facon_(miss_kittin_and_the_hacker_mix)-babas_int.mp3,Neighbour - Toute Freak (DCUP Remix).mp3,False
15 Olivier Cheatham - Get Down Saturday Night.mp3,Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,False
03 - Grafiti - What Is The Problem? (Faster Remix).mp3,Pétoux & Teksa - Nervous Attack-345652430.mp3,False
01. Worthy & Eats Everything - Tric Trac (Original Mix).mp3,"408. Kenny Hawkes, Louise Carver - Play The Game (Extended Mix).mp3",False
4 - Oi to the Oi.mp3,Ursula 1000 - Electrik Boogie (Fort Knox Five Rmx).mp3,False
010 - Casanovy - I Need Your Lovin' (Milk & Sugar Remix) (2005).mp3,Bullitt - Cried To Dream ( Amazonian Vocal Mix ).mp3,False
071 - Ozzie Guven - The One.mp3,The Oblong - Dan Berkson - Break The Silence.mp3,False
A2 - Sequel Bass - Speed.mp3,Delicious Inc. - Eau de chantè (For Men).mp3,False
01 - Ricardo Villalobos - Tub.mp3,06-boogie_corporation--freak_inside.mp3,False
02 Origins Of Telluria.mp3,2205 - Regrets - Je Ne Veux Pas Rentrer Chez Moi Seule (D.J. Club Mix).mp3,False
03-solma-ritualism_(dissociative_mix)-cde72c46.mp3,04-pariah-crossed_out.mp3,False
Mike Monday - Rumpfunk.mp3,tek_box_move_your_hips_(idjut_boys_edit_2015_remaster).mp3,False
02 - Little Computer People - Electro Pop.mp3,Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,False
01-gehlektek--gehenna-oma.mp3,15 - Drama Society - Crying Hero (Tiga Remix).mp3,False
01 - Toi Qui Cours L'aventure.mp3,Phat Otiz - No Front [www.slider.kz].mp3,False
14 - SDA - Vous êtes un arbre.mp3,EPIK - Eternal (Dave Randall's Spacehopper Mix).mp3,False
02 - Ricardo Villalobos - Früh.mp3,Boogie Corporation - 94 Slices (Original Mix).mp3,False
06-thomas_p_heckmann-rebirth_(original_remaster)-.mp3,08 Tainted love (Dino remix).mp3,False
Light Blue File - Nasty Time (Original Mix) [Pryma Records].mp3,Mark James - Is That a Pistol (House Mix).mp3,False
B2  M.A.D. - Free (Friction & Spice's Bassline Mix).mp3,Tony De Vit - Make Love To Me.mp3,False
01 Unruhe.MP3,04 - Bumper - Mascara Love (Pigna People Remix).mp3,False
09 - Shakedown - Right Thang.mp3,"Agathe & Regrets, Agathe Labernia, Sylvain Stabile, Agathe Labernia, Sylvain Stabile - C'est normal.mp3",True
"01 - Dave Barker, Brett Johnson - On The Highway (Original).mp3",felix_rennefeld-the_max_(original_mix)-beatport.mp3,True
02_thomilla_with_ayak_-_freaky_girl_(dj_t.s_electric_boogie_mix)-mod.mp3,105. Chris Lum - The Fires Inside.mp3,False
01 - Little Computer People - Eyes.mp3,01-paul_reve_natural_limit-organic_dreams-069d0b1d.mp3,False
07 L.A. Mattress.mp3,Bullitt - Cried To Dream ( Amazonian Vocal Mix ).mp3,False
MenteK - Mental Therapy.mp3,Neighbour - Toute Freak (DCUP Remix).mp3,False
"Boulderhead, Overnite Oates - Bread Butter Noodles Spice.mp3",Tony De Vit - Are You All Ready.mp3,False
01-maxim_samos-alpha_storm_(an-2_remix)-wws.mp3,04_Whatever U Want.mp3,True
03 Downtown Funk.mp3,L.P. Rhythm - Move Your Body.mp3,False
06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,Shiro Schwarz - Move Your Body.mp3,False
04 - Slope - Basscheck.mp3,10-rm_estali-laco-67b19703.mp3,False
(2004) Annie - Chewing Gum (Headman Vocal Remix).mp3,01 - Rework - You're So Just Just.mp3,False
02 - Shakedown - Get Down.mp3,Soylent Green - A1.mp3,False
06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,Delicious Inc. - Eau de chantè (For Men).mp3,True
02-klofink_rps13-896-d35eeb0d.mp3,EPIK - Eternal (Dave Randall's Spacehopper Mix).mp3,False
02 - Bumper - Every MF Night.mp3,03.Surtek Collective - Shari (Daniel Maloso Remix).mp3,False
03 - The Stone Roses vs Rabbit In The Moon - Fools Gold (Rabbit In The Moon's Straight Beat Pyrite Dub).mp3,DJ Love - All The Way (Original Mix).mp3,False
02 - Soylent Green - B1.mp3,Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,False
09 Leinad - Out Of Phase.mp3,Spirit Catcher - Street Hawk (Original Mix)_PN.mp3,True
01 - Rework - You're So Just Just.mp3,03 - Bumper - Mascara Love.mp3,False
03. Can't Get You Out of My Head (Extended Mix).mp3,B2  M.A.D. - Free (Friction & Spice's Bassline Mix).mp3,False
03-velvet_velour-ok-e80ed298.mp3,07-paulette--i_want_you_back-e5894b62.mp3,False
01-maxim_samos-alpha_storm_(an-2_remix)-wws.mp3,08 Tainted love (Dino remix).mp3,False
01-tom_carruthers--altered_state-e30e86e4.mp3,"Agathe & Regrets, Agathe Labernia, Sylvain Stabile, Agathe Labernia, Sylvain Stabile - C'est normal.mp3",False
01 Move Closer.mp3,08-fluid_matter-boat_party_criminal-04aa5c6b.mp3,False
Blacksoul - Got Funk.mp3,Neighbour - Toute Freak (DCUP Remix).mp3,False
01 - Rework - You're So Just Just.mp3,Shiro Schwarz - Move Your Body.mp3,False
Anané - Love To Love You Baby (Louie & Anané Funky House Mix).mp3,Bliss Inc - Subaquatic.mp3,False
02_thomilla_with_ayak_-_freaky_girl_(dj_t.s_electric_boogie_mix)-mod.mp3,Jesse Rose - A-Sided.mp3,True
08 - Shakedown - Drowsy With Hope.mp3,10 Neighbour - Pistachio Ride.mp3,True
01-blowing up the barrio.mp3,a1_miles_maeda-give_me_love-emp.mp3,False
04-pariah-crossed_out.mp3,Flood - Still Want You.mp3,False
05 - Shakedown - You Thing You Know.mp3,Spirit Catcher - Glide Explorer.mp3,True
17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,Electroid - France Electronique (Original).mp3,False
03-velvet_velour-ok-e80ed298.mp3,MenTek 23.mp3,False
Rosemary Martins - Love to Love You Baby.mp3,Tom Frankel - Space Cake.mp3,False
01-blowing up the barrio.mp3,02-phran_feat_ivy_barkakati--impulse_(john_barera_remix)-df75de0d.mp3,False
03 - Furie.mp3,"Carl Cox, Franky Wah - See the Sun Rising (Extended Mix).mp3",False
Mark James - Is That a Pistol (Extended Mix).mp3,Vinyl - Don't Ever Stop (Club Mix) - Tony De Vit.mp3,False
07 - Captain Comatose - Don't Come Back (Snax Mix).mp3,"Bliss Inc - Higher, Vision.mp3",False
06-boogie_corporation--freak_inside.mp3,Light Blue File - Palpitrack (Original Mix) [Pryma Records].mp3,False
01-artificial_arm--welcome_to_planet_funk-515be63c.mp3,Patrick Cowley - Do You Wanna Funk? (feat. Sylvester).mp3,False
02 You Know How (Inland Knights Remix).mp3,Toro (Andre VII RMX).mp3,False
Mark James - Is That a Pistol (Extended Mix).mp3,Phat Otiz - No Front [www.slider.kz].mp3,False
02_thomilla_with_ayak_-_freaky_girl_(dj_t.s_electric_boogie_mix)-mod.mp3,07 L.A. Mattress.mp3,True
L.P. Rhythm - Move Your Body.mp3,tanganazo - Schkaboogie -  Funky Chow (Pudding And Pie Version).mp3,False
01-maxim_samos-alpha_storm_(an-2_remix)-wws.mp3,felix_rennefeld-the_max_(original_mix)-beatport.mp3,True
04_Whatever U Want.mp3,"Evelyn ""Champagne"" King - I'm In Love.mp3",True
04-acid_chochi-acid_cortex-c49bef4a.mp3,09-urlcst-p__c__l_(periclitation_cat_e_gorie_libre)-b9b10859.mp3,False
A2 - Sequel Bass - Speed.mp3,Shiro Schwarz - Move Your Body.mp3,False
04-pariah-crossed_out.mp3,08 Leinad - Bombers.mp3,False
08 Leinad - Bombers.mp3,Gallegos - Chronic Ensoniq.mp3,False
01-pepe_elle--funk_you-e83d7488.mp3,03 - Shakedown - Disconnected.mp3,False
Boogie Corporation - Troubled Funk (Original Mix).mp3,Turner - Been Out (Never-Nothing Quarks Remix).mp3,True
02-allen_and_healey-head_over_heels_(yum_yum_remix)-b8cbc5bc.mp3,Flood - Still Want You.mp3,False
03 Slingshot (Vs Blim).mp3,04 - Captain Comatose - Price Gun Baby (Kiki & Silversurfer's 6.66 Remix).mp3,False
01-blowing up the barrio.mp3,Turner - Been Out (Never-Nothing Quarks Remix).mp3,True
06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,07 - Captain Comatose - Don't Come Back (Snax Mix).mp3,False
2 - Ultimate Damage.mp3,Bliss Inc - Delusion.mp3,True
"01 - Dave Barker, Brett Johnson - On The Highway (Original).mp3",01 - Toi Qui Cours L'aventure.mp3,False
10 - Little Computer People - Fly High.mp3,105. Chris Lum - The Fires Inside.mp3,False
Datamode - Dazed Girls.mp3,I Feel Love (Kevin McKay Club Mix).mp3,False
01 Unruhe.MP3,Jerome Six - Every Single Time (Max Chapman Deep Mix).mp3,False
04_Whatever U Want.mp3,EPIK - Eternal (Dave Randall's Spacehopper Mix).mp3,False
 Look! (Club Mix).mp3,01 - Bumper - Everybody Fonki.mp3,True
03 - Bumper - Mascara Love.mp3,04-the_artificial_arm--get_down_(to_the_sound)-410e0152.mp3,True
A1 The Electric Press - Revolt.mp3,Blacksoul - Something Is Wrong ( Lhk and Alex Moran Remix ).mp3,True
"Emi Ömar, Loick Besnard, Loick Besnard, Loick Besnard - Shaman King.mp3","Emi Ömar, Loick Besnard, Loick Besnard, Loick Besnard - Disco Shinny.mp3",True
Jerome Six - Every Single Time (Max Chapman Deep Mix).mp3,071 - Ozzie Guven - The One.mp3,True
